ENDEREÇO GOOGLE MAPS,GPS,ALIMENTADOR,GPS - FUSIVEL
SPH1438,"https://www.google.com/maps/place/-6.46386862, -39.85106539",ANN01P2,"-6.46386862, -39.85106539"
FBH0401,"https://www.google.com/maps/place/-6.49907379, -39.73472385",ANN01P2,"-6.49907379, -39.73472385"
FPG0427,"https://www.google.com/maps/place/-6.57930989, -39.86287376",ANN01P2,"-6.57930989, -39.86287376"
FPG0486,"https://www.google.com/maps/place/-6.48161299, -39.70504503",ANN01P2,"-6.48161299, -39.70504503"
FPH1264,"https://www.google.com/maps/place/-6.4142284, -39.88327159",ANN01P2,"-6.4142284, -39.88327159"
FPH1275,"https://www.google.com/maps/place/-6.60425218, -39.91092033",ANN01P2,"-6.60425218, -39.91092033"
FPH1312,"https://www.google.com/maps/place/-6.54106769, -39.79673937",ANN01P2,"-6.54106769, -39.79673937"
FPH1315,"https://www.google.com/maps/place/-6.64401293, -39.92124231",ANN01P2,"-6.64401293, -39.92124231"
FPG0650,"https://www.google.com/maps/place/-6.54034108, -39.9054138",ANN01P2,"-6.54034108, -39.9054138"
FPG0653,"https://www.google.com/maps/place/-6.59995218, -39.91290241",ANN01P2,"-6.59995218, -39.91290241"
TSPG0689,"https://www.google.com/maps/place/-6.47813832, -39.69936997",ANN01P2,"-6.47813832, -39.69936997"
FPG0691,"https://www.google.com/maps/place/-6.4754941, -39.68827007",ANN01P2,"-6.4754941, -39.68827007"
FPG0703,"https://www.google.com/maps/place/-6.47930012, -39.66268209",ANN01P2,"-6.47930012, -39.66268209"
FPG0709,"https://www.google.com/maps/place/-6.47948823, -39.64301261",ANN01P2,"-6.47948823, -39.64301261"
FPG0715,"https://www.google.com/maps/place/-6.48113574, -39.64205607",ANN01P2,"-6.48113574, -39.64205607"
FPF1153,"https://www.google.com/maps/place/-6.72011796, -39.95383739",ANN01P2,"-6.72011796, -39.95383739"
FPF1214,"https://www.google.com/maps/place/-6.73651529, -39.9543308",ANN01P2,"-6.73651529, -39.9543308"
FPF1219,"https://www.google.com/maps/place/-6.71676481, -39.91941512",ANN01P2,"-6.71676481, -39.91941512"
FPG1318,"https://www.google.com/maps/place/-6.65258681, -39.96895808",ANN01P2,"-6.65258681, -39.96895808"
FPF1246,"https://www.google.com/maps/place/-6.5402329, -39.90521463",ANN01P2,"-6.5402329, -39.90521463"
FPF1628,"https://www.google.com/maps/place/-6.5509261, -39.81980045",ANN01P2,"-6.5509261, -39.81980045"
FPF4117,"https://www.google.com/maps/place/-6.76364732, -39.97834314",ANN01P2,"-6.76364732, -39.97834314"
FPF4133,"https://www.google.com/maps/place/-6.75952884, -39.97538523",ANN01P2,"-6.75952884, -39.97538523"
FPF4150,"https://www.google.com/maps/place/-6.75340513, -39.97105715",ANN01P2,"-6.75340513, -39.97105715"
FPF4168,"https://www.google.com/maps/place/-6.75212253, -39.97017695",ANN01P2,"-6.75212253, -39.97017695"
FPF4192,"https://www.google.com/maps/place/-6.73488015, -39.95794662",ANN01P2,"-6.73488015, -39.95794662"
FPF5776,"https://www.google.com/maps/place/-6.73379557, -39.95753735",ANN01P2,"-6.73379557, -39.95753735"
FPF5806,"https://www.google.com/maps/place/-6.72376281, -39.95395306",ANN01P2,"-6.72376281, -39.95395306"
FPF5830,"https://www.google.com/maps/place/-6.70717768, -39.95234659",ANN01P2,"-6.70717768, -39.95234659"
FPF5881,"https://www.google.com/maps/place/-6.70186564, -39.9537476",ANN01P2,"-6.70186564, -39.9537476"
FPF5911,"https://www.google.com/maps/place/-6.67376812, -39.94653742",ANN01P2,"-6.67376812, -39.94653742"
FPF5946,"https://www.google.com/maps/place/-6.64483611, -39.91632283",ANN01P2,"-6.64483611, -39.91632283"
FPF5989,"https://www.google.com/maps/place/-6.63573291, -39.91356512",ANN01P2,"-6.63573291, -39.91356512"
FPF6020,"https://www.google.com/maps/place/-6.54572987, -39.90655402",ANN01P2,"-6.54572987, -39.90655402"
FPF6080,"https://www.google.com/maps/place/-6.54178344, -39.9081025",ANN01P2,"-6.54178344, -39.9081025"
FPF6160,"https://www.google.com/maps/place/-6.55213804, -39.90416884",ANN01P2,"-6.55213804, -39.90416884"
FPF6233,"https://www.google.com/maps/place/-6.53443221, -39.90174939",ANN01P2,"-6.53443221, -39.90174939"
FPF6420,"https://www.google.com/maps/place/-6.56034466, -39.90763861",ANN01P2,"-6.56034466, -39.90763861"
