CD,LOCALIZAÇÃO,ALIMENTADOR,TOTAL CLIENTES,TOTAL POTENCIA,GPS - BT
TML0093,"https://www.google.com/maps/place/-7.22026443,-39.31832372",JZN01M4,0,225,"-7.22026443,-39.31832372"
TML0144,"https://www.google.com/maps/place/-7.20577338,-39.31797847",JZN01M4,0,150,"-7.20577338,-39.31797847"
TMI3540,"https://www.google.com/maps/place/-7.20230056,-39.3168982",JZN01M4,1,75,"-7.20230056,-39.3168982"
TMK2374,"https://www.google.com/maps/place/-7.22161108,-39.31998227",JZN01M4,1,112.5,"-7.22161108,-39.31998227"
TMK3753,"https://www.google.com/maps/place/-7.20398384,-39.31578528",JZN01M4,40,225,"-7.20398384,-39.31578528"
TMK6990,"https://www.google.com/maps/place/-7.221114,-39.31936598",JZN01M4,1,225,"-7.221114,-39.31936598"
TMH0002,"https://www.google.com/maps/place/-7.21666528,-39.31679948",JZN01M4,1,75,"-7.21666528,-39.31679948"
TMH0018,"https://www.google.com/maps/place/-7.2126398,-39.31696878",JZN01M4,65,113,"-7.2126398,-39.31696878"
TMH0116,"https://www.google.com/maps/place/-7.20779922,-39.31856863",JZN01M4,1,45,"-7.20779922,-39.31856863"
TMH0138,"https://www.google.com/maps/place/-7.20773697,-39.31702878",JZN01M4,54,113,"-7.20773697,-39.31702878"
TMH0173,"https://www.google.com/maps/place/-7.21742388,-39.31858441",JZN01M4,40,75,"-7.21742388,-39.31858441"
TMH0241,"https://www.google.com/maps/place/-7.22012876,-39.31829645",JZN01M4,50,75,"-7.22012876,-39.31829645"
TMH0326,"https://www.google.com/maps/place/-7.20717577,-39.31755374",JZN01M4,1,112.5,"-7.20717577,-39.31755374"
TMH0344,"https://www.google.com/maps/place/-7.2225598,-39.32153185",JZN01M4,1,75,"-7.2225598,-39.32153185"
TMH0372,"https://www.google.com/maps/place/-7.20856851,-39.31798948",JZN01M4,76,113,"-7.20856851,-39.31798948"
TMH0391,"https://www.google.com/maps/place/-7.2096817,-39.31718411",JZN01M4,97,150,"-7.2096817,-39.31718411"
TMH0422,"https://www.google.com/maps/place/-7.22139364,-39.3204803",JZN01M4,1,75,"-7.22139364,-39.3204803"
TMH0565,"https://www.google.com/maps/place/-7.22196471,-39.3187778",JZN01M4,36,75,"-7.22196471,-39.3187778"
TMH1142,"https://www.google.com/maps/place/-7.21758773,-39.31710809",JZN01M4,0,225,"-7.21758773,-39.31710809"
TMH1149,"https://www.google.com/maps/place/-7.20731206,-39.31667523",JZN01M4,0,75,"-7.20731206,-39.31667523"
TMH1202,"https://www.google.com/maps/place/-7.20758326,-39.31691998",JZN01M4,1,150,"-7.20758326,-39.31691998"
TMH1256,"https://www.google.com/maps/place/-7.22086852,-39.32114117",JZN01M4,1,112.5,"-7.22086852,-39.32114117"
TMH5130,"https://www.google.com/maps/place/-7.22036224,-39.32074226",JZN01M4,37,150,"-7.22036224,-39.32074226"
TMH5156,"https://www.google.com/maps/place/-7.22316648,-39.32065365",JZN01M4,31,113,"-7.22316648,-39.32065365"
TMH5202,"https://www.google.com/maps/place/-7.21961189,-39.32010768",JZN01M4,341,150,"-7.21961189,-39.32010768"
TMH5210,"https://www.google.com/maps/place/-7.21862681,-39.31880264",JZN01M4,70,75,"-7.21862681,-39.31880264"
TMH5229,"https://www.google.com/maps/place/-7.21806612,-39.31859392",JZN01M4,0,600,"-7.21806612,-39.31859392"
TMH5296,"https://www.google.com/maps/place/-7.22021997,-39.31721861",JZN01M4,206,150,"-7.22021997,-39.31721861"
TMH5598,"https://www.google.com/maps/place/-7.21787696,-39.31745249",JZN01M4,291,150,"-7.21787696,-39.31745249"
TMH5628,"https://www.google.com/maps/place/-7.21556136,-39.31727878",JZN01M4,170,225,"-7.21556136,-39.31727878"
TMH5644,"https://www.google.com/maps/place/-7.21407773,-39.31746796",JZN01M4,154,150,"-7.21407773,-39.31746796"
TMH5806,"https://www.google.com/maps/place/-7.21206959,-39.31744845",JZN01M4,94,225,"-7.21206959,-39.31744845"
TMH6004,"https://www.google.com/maps/place/-7.20953537,-39.31947562",JZN01M4,173,113,"-7.20953537,-39.31947562"
TMH6292,"https://www.google.com/maps/place/-7.20615486,-39.31572338",JZN01M4,223,113,"-7.20615486,-39.31572338"
TMJ4088,"https://www.google.com/maps/place/-7.22414264,-39.32176848",JZN01M4,1,300,"-7.22414264,-39.32176848"
TMJ4134,"https://www.google.com/maps/place/-7.20800729,-39.31854161",JZN01M4,1,300,"-7.20800729,-39.31854161"
TMJ4410,"https://www.google.com/maps/place/-7.20817977,-39.31765407",JZN01M4,56,150,"-7.20817977,-39.31765407"
TMJ5180,"https://www.google.com/maps/place/-7.22279591,-39.32021861",JZN01M4,1,225,"-7.22279591,-39.32021861"
TMJ5475,"https://www.google.com/maps/place/-7.21437732,-39.31591022",JZN01M4,214,75,"-7.21437732,-39.31591022"
TML0020,"https://www.google.com/maps/place/-7.20809778,-39.31849638",JZN01M4,5,45,"-7.20809778,-39.31849638"
TMH6330,"https://www.google.com/maps/place/-7.20372338,-39.31305875",JZN01M4,135,75,"-7.20372338,-39.31305875"
TMH6390,"https://www.google.com/maps/place/-7.20180467,-39.31454288",JZN01M4,109,113,"-7.20180467,-39.31454288"
TMH6519,"https://www.google.com/maps/place/-7.20377557,-39.31610215",JZN01M4,91,150,"-7.20377557,-39.31610215"
TMH6551,"https://www.google.com/maps/place/-7.20538512,-39.31696374",JZN01M4,443,150,"-7.20538512,-39.31696374"
TMH6560,"https://www.google.com/maps/place/-7.20033863,-39.31544763",JZN01M4,65,150,"-7.20033863,-39.31544763"
TMH6608,"https://www.google.com/maps/place/-7.20200136,-39.31790339",JZN01M4,49,225,"-7.20200136,-39.31790339"
TMH6632,"https://www.google.com/maps/place/-7.20273434,-39.31750536",JZN01M4,11,150,"-7.20273434,-39.31750536"
TMH6683,"https://www.google.com/maps/place/-7.20240001,-39.31697979",JZN01M4,1,800,"-7.20240001,-39.31697979"
TMH6713,"https://www.google.com/maps/place/-7.20506845,-39.3170541",JZN01M4,1,300,"-7.20506845,-39.3170541"
TMH6756,"https://www.google.com/maps/place/-7.20725727,-39.31741793",JZN01M4,53,150,"-7.20725727,-39.31741793"
TMH6772,"https://www.google.com/maps/place/-7.20626171,-39.31817808",JZN01M4,46,225,"-7.20626171,-39.31817808"
TMH6775,"https://www.google.com/maps/place/-7.20236394,-39.31680767",JZN01M4,0,525,"-7.20236394,-39.31680767"
TMH6780,"https://www.google.com/maps/place/-7.20435316,-39.31803183",JZN01M4,101,225,"-7.20435316,-39.31803183"
TMJ5556,"https://www.google.com/maps/place/-7.20626123,-39.31887552",JZN01M4,103,113,"-7.20626123,-39.31887552"
TMJ6056,"https://www.google.com/maps/place/-7.20904772,-39.31829777",JZN01M4,1,75,"-7.20904772,-39.31829777"
TML0176,"https://www.google.com/maps/place/-7.20191391,-39.31353756",JZN01M4,1,150,"-7.20191391,-39.31353756"
TML0179,"https://www.google.com/maps/place/-7.20241991,-39.3143531",JZN01M4,1,112.5,"-7.20241991,-39.3143531"
TML0246,"https://www.google.com/maps/place/-7.2039833,-39.31657329",JZN01M4,1,75,"-7.2039833,-39.31657329"
TML0386,"https://www.google.com/maps/place/-7.20106075,-39.31767629",JZN01M4,0,112.5,"-7.20106075,-39.31767629"
TML0401,"https://www.google.com/maps/place/-7.20292575,-39.31540413",JZN01M4,79,113,"-7.20292575,-39.31540413"
